trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23481620,7/1/2019 7:46,7/1/2019 7:58,6256,727,638,Clinton St & Jackson Blvd,48,Larrabee St & Kingsbury St,Subscriber,Male,1977
23481621,7/1/2019 7:46,7/1/2019 8:03,5405,"1,035.00",374,Western Ave & Walton St,96,Desplaines St & Randolph St,Subscriber,Male,1987
23481622,7/1/2019 7:46,7/1/2019 8:09,4500,"1,392.00",205,Paulina St & 18th St,15,Racine Ave & 18th St,Subscriber,Female,1989
23481623,7/1/2019 7:46,7/1/2019 7:52,858,388,133,Kingsbury St & Kinzie St,81,Daley Center Plaza,Subscriber,Male,1989
23481624,7/1/2019 7:46,7/1/2019 7:56,6371,640,255,Indiana Ave & Roosevelt Rd,195,Columbus Dr & Randolph St,Subscriber,Male,1984
23481625,7/1/2019 7:46,7/1/2019 8:18,3861,"1,932.00",334,Lake Shore Dr & Belmont Ave,90,Millennium Park,Subscriber,Female,1981
23481626,7/1/2019 7:46,7/1/2019 7:50,3598,280,192,Canal St & Adams St,66,Clinton St & Lake St,Subscriber,Female,1966
23481627,7/1/2019 7:46,7/1/2019 7:59,6144,794,192,Canal St & Adams St,125,Rush St & Hubbard St,Subscriber,Male,1968
23481628,7/1/2019 7:46,7/1/2019 8:18,3383,"1,949.00",160,Campbell Ave & North Ave,194,Wabash Ave & Wacker Pl,Subscriber,Female,1986
23481630,7/1/2019 7:46,7/1/2019 8:07,785,"1,260.00",219,Damen Ave & Cortland St,66,Clinton St & Lake St,Subscriber,Male,1985
23481631,7/1/2019 7:46,7/1/2019 7:58,3624,700,53,Wells St & Huron St,80,Aberdeen St & Monroe St,Subscriber,Male,1992
23481632,7/1/2019 7:46,7/1/2019 7:52,5803,332,453,Clark St & Schreiber Ave,451,Sheridan Rd & Loyola Ave,Subscriber,Female,1990
23481633,7/1/2019 7:46,7/1/2019 8:07,5525,"1,256.00",222,Milwaukee Ave & Rockwell St,198,Green St & Madison St,Subscriber,Male,1979
23481634,7/1/2019 7:46,7/1/2019 7:55,5621,545,183,Damen Ave & Thomas St (Augusta Blvd),58,Marshfield Ave & Cortland St,Subscriber,Female,1994
23481635,7/1/2019 7:46,7/1/2019 8:19,1734,"1,960.00",325,Clark St & Winnemac Ave,126,Clark St & North Ave,Subscriber,Female,1987
23481636,7/1/2019 7:46,7/1/2019 7:57,657,645,337,Clark St & Chicago Ave,286,Franklin St & Adams St (Temp),Subscriber,Male,1991
23481637,7/1/2019 7:46,7/1/2019 7:58,2354,706,192,Canal St & Adams St,84,Milwaukee Ave & Grand Ave,Subscriber,Female,1991
23481638,7/1/2019 7:46,7/1/2019 7:52,6066,347,56,Desplaines St & Kinzie St,18,Wacker Dr & Washington St,Customer,,
23481639,7/1/2019 7:46,7/1/2019 7:53,2266,375,85,Michigan Ave & Oak St,126,Clark St & North Ave,Subscriber,Male,1985
23481640,7/1/2019 7:46,7/1/2019 8:13,2580,"1,587.00",226,Racine Ave & Belmont Ave,497,Kimball Ave & Belmont Ave,Customer,,
23481641,7/1/2019 7:46,7/1/2019 7:51,2623,266,195,Columbus Dr & Randolph St,51,Clark St & Randolph St,Subscriber,Male,1985
23481642,7/1/2019 7:46,7/1/2019 7:55,5173,501,192,Canal St & Adams St,51,Clark St & Randolph St,Subscriber,Female,1985
23481644,7/1/2019 7:46,7/1/2019 8:02,5757,903,176,Clark St & Elm St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1960
23481645,7/1/2019 7:46,7/1/2019 7:52,1688,338,320,Loomis St & Lexington St,342,Wolcott Ave & Polk St,Subscriber,Male,1996
23481647,7/1/2019 7:46,7/1/2019 7:54,2465,477,638,Clinton St & Jackson Blvd,84,Milwaukee Ave & Grand Ave,Subscriber,Male,1985
23481648,7/1/2019 7:47,7/1/2019 8:03,408,966,115,Sheffield Ave & Wellington Ave,20,Sheffield Ave & Kingsbury St,Subscriber,Female,1995
23481649,7/1/2019 7:47,7/1/2019 7:58,6319,714,110,Dearborn St & Erie St,198,Green St & Madison St,Subscriber,Male,1980
23481650,7/1/2019 7:47,7/1/2019 8:07,5761,"1,227.00",112,Green St & Randolph St,85,Michigan Ave & Oak St,Subscriber,Male,1991
23481651,7/1/2019 7:47,7/1/2019 7:57,3824,626,74,Kingsbury St & Erie St,52,Michigan Ave & Lake St,Subscriber,Male,1990
23481652,7/1/2019 7:47,7/1/2019 7:50,498,220,31,Franklin St & Chicago Ave (Temp),48,Larrabee St & Kingsbury St,Subscriber,Male,1967
23481653,7/1/2019 7:47,7/1/2019 7:57,6006,620,24,Fairbanks Ct & Grand Ave,49,Dearborn St & Monroe St,Subscriber,Male,1994
23481654,7/1/2019 7:47,7/1/2019 7:50,4447,181,288,Larrabee St & Armitage Ave,113,Bissell St & Armitage Ave,Subscriber,Female,1989
23481656,7/1/2019 7:47,7/1/2019 8:10,4316,"1,371.00",177,Theater on the Lake,459,Lakefront Trail & Bryn Mawr Ave,Subscriber,Male,1946
23481657,7/1/2019 7:47,7/1/2019 7:54,3182,409,43,Michigan Ave & Washington St,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1996
23481658,7/1/2019 7:47,7/1/2019 8:00,4736,764,243,Lincoln Ave & Sunnyside Ave,462,Winchester (Ravenswood) Ave & Balmoral Ave,Subscriber,Male,1985
23481659,7/1/2019 7:47,7/1/2019 7:58,1878,668,192,Canal St & Adams St,111,Sedgwick St & Huron St,Subscriber,Male,1966
23481660,7/1/2019 7:47,7/1/2019 7:57,2853,578,106,State St & Pearson St,81,Daley Center Plaza,Subscriber,Male,1982
23481661,7/1/2019 7:47,7/1/2019 8:14,4790,"1,594.00",223,Clifton Ave & Armitage Ave,164,Franklin St & Lake St,Subscriber,Female,1995
23481662,7/1/2019 7:47,7/1/2019 7:57,4594,605,77,Clinton St & Madison St,53,Wells St & Huron St,Subscriber,Female,1992
